index,timestamp,source,mean_cmi,min_cmi,max_cmi,cold_fraction_240k,std_cmi
10,2026-05-05 18:51 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251851177_e20261251853562_c20261251854015.nc,279.3818054199219,204.5991668701172,329.10357666015625,0.06740345308205573,21.25774574279785
11,2026-05-05 18:56 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251856177_e20261251858562_c20261251859007.nc,279.368408203125,202.14102172851562,329.10357666015625,0.06744180205609915,21.263654708862305
12,2026-05-05 19:01 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251901177_e20261251903562_c20261251904014.nc,279.3577880859375,202.3253936767578,329.3493957519531,0.06750202614913917,21.267213821411133
13,2026-05-05 19:06 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251906177_e20261251908562_c20261251909018.nc,279.34033203125,202.44830322265625,329.59521484375,0.06747474976619279,21.27596092224121
14,2026-05-05 19:11 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251911177_e20261251913562_c20261251914010.nc,279.3254699707031,201.34213256835938,329.65667724609375,0.06747474976619279,21.279705047607422
15,2026-05-05 19:16 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251916177_e20261251918562_c20261251919031.nc,279.3039855957031,204.47625732421875,329.59521484375,0.06753335348004787,21.290922164916992
16,2026-05-05 19:21 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251921177_e20261251923562_c20261251924026.nc,279.28826904296875,202.69412231445312,329.7181091308594,0.06754415600794741,21.29736328125
17,2026-05-05 19:26 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251926177_e20261251928563_c20261251929028.nc,279.2696533203125,203.06283569335938,329.7795715332031,0.0676076208593573,21.305593490600586
18,2026-05-05 19:31 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251931177_e20261251933562_c20261251934028.nc,279.250732421875,199.99017333984375,329.9024963378906,0.06770484361045329,21.31151008605957
19,2026-05-05 19:36 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251936177_e20261251938562_c20261251939035.nc,279.2232971191406,198.3923797607422,329.96392822265625,0.06786553121295914,21.3199520111084
20,2026-05-05 19:41 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251941177_e20261251943562_c20261251944013.nc,279.1979675292969,204.23043823242188,329.7795715332031,0.06787714393045116,21.322114944458008
21,2026-05-05 19:46 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251946177_e20261251948563_c20261251949004.nc,279.1666259765625,204.04608154296875,329.7795715332031,0.0681088581538966,21.327259063720703
22,2026-05-05 19:51 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251951177_e20261251953562_c20261251954021.nc,279.141357421875,203.6773681640625,329.7795715332031,0.06829304125458399,21.32904052734375
23,2026-05-05 19:56 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261251956177_e20261251958562_c20261251959016.nc,279.109375,203.55445861816406,329.59521484375,0.06853636819552143,21.331642150878906
24,2026-05-05 20:01 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261252001177_e20261252003563_c20261252004026.nc,279.0810546875,200.97341918945312,329.53375244140625,0.06853393762674403,21.32787322998047
25,2026-05-05 20:06 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261252006177_e20261252008562_c20261252009004.nc,279.0514221191406,202.01812744140625,329.22650146484375,0.06853933889069382,21.327917098999023
26,2026-05-05 20:11 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261252011177_e20261252013562_c20261252014010.nc,279.0185241699219,202.20248413085938,329.1650390625,0.06866464821432863,21.326807022094727
27,2026-05-05 20:16 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261252016177_e20261252018563_c20261252019039.nc,278.9844665527344,199.55999755859375,329.10357666015625,0.06887340706598752,21.330413818359375
28,2026-05-05 20:21 UTC,OR_ABI-L2-CMIPC-M6C13_G19_s20261252021177_e20261252023562_c20261252024023.nc,278.95172119140625,201.58795166015625,328.8577880859375,0.0690384156796532,21.330320358276367
